"productId","partNumber","name","brand","productType","particleSize","poreSize","columnLength","innerDiameter","phaseType","phRange","status"
"THER-25012-022130","25012-022130","Hypersil GOLD™ C18 Selectivity HPLC Columns","Thermo Fisher Scientific","HPLC Column","3 μm","175 Å","20 mm","2.1 mm","Reversed Phase
Endcapped","1 to 11","active"
"THER-25002-104630","25002-104630","Hypersil GOLD™ C18 Selectivity HPLC Columns","Thermo Fisher Scientific","HPLC Column","3 μm","175 Å","100 mm","4.6 mm","Reversed Phase
Endcapped","1 to 11","active"
"REST-9314262","9314262","Raptor ARC-18, 1.8 µm, 150 x 2.1 mm HPLC Column","Restek","HPLC Column","1.8µm","","150mm","2.1mm","ARC-18","","active"
"REST-9314A12-T","9314A12-T","Raptor Inert ARC-18, 2.7 µm, 100 x 2.1 mm HPLC Column","Restek","HPLC Column","2.7µm","","100mm","2.1mm","ARC-18","","active"
"REST-9309A5E","9309A5E","Raptor Biphenyl, 2.7 µm, 50 x 3.0 mm HPLC Column","Restek","HPLC Column","2.7µm","","50mm","3.0mm","Biphenyl","","active"
"REST-9634312","9634312","Force C18, 3 µm, 100 x 2.1 mm LC Column","Restek","HPLC Column","3µm","","100mm","2.1mm","C18","","active"
"REST-9311A32","9311A32","Raptor Polar X, 2.7 µm, 30 x 2.1 mm LC Column","Restek","HPLC Column","2.7µm","","30mm","2.1mm","Polar","","active"
"REST-9319A1E","9319A1E","Raptor FluoroPhenyl, 2.7 µm, 100 x 3.0 mm HPLC Column","Restek","HPLC Column","2.7µm","","100mm","3.0mm","FluoroPhenyl","","active"
"REST-9629332","9629332","Force Biphenyl, 3 µm, 30 x 2.1 mm LC Column","Restek","HPLC Column","3µm","","30mm","2.1mm","Biphenyl","","active"
"REST-9178312","9178312","Ultra Aqueous C18, 3 µm, 100 x 2.1 mm HPLC Column","Restek","HPLC Column","3µm","","100mm","2.1mm","Aqueous","","active"
"REST-9175312-T","9175312-T","Ultra Inert IBD, 3 µm, 100 x 2.1 mm HPLC Column","Restek","HPLC Column","3µm","","100mm","2.1mm","IBD","","active"
"REST-9629352","9629352","Force Biphenyl, 3 µm, 50 x 2.1 mm LC Column","Restek","HPLC Column","3µm","","50mm","2.1mm","Biphenyl","","active"
"REST-9309A52","9309A52","Raptor Biphenyl, 2.7 µm, 50 x 2.1 mm HPLC Column","Restek","HPLC Column","2.7µm","","50mm","2.1mm","Biphenyl","","active"
"REST-9160572","9160572","Allure Silica, 5 µm, 60 A, 250 x 2.1 mm HPLC Column","Restek","HPLC Column","5µm","60 Å","250mm","2.1mm","Silica","","active"
"REST-9314A65","9314A65","Raptor ARC-18, 2.7 µm, 150 x 4.6 mm HPLC Column","Restek","HPLC Column","2.7µm","","150mm","4.6mm","ARC-18","","active"
"REST-9325A12","9325A12","Raptor EtG/EtS, 2.7 µm, 100 x 2.1 mm LC Column","Restek","HPLC Column","2.7µm","","100mm","2.1mm","EtG","","active"
"REST-27854","27854","PFAS Delay Column, 5 µm, 50 x 2.1 mm HPLC Column","Restek","HPLC Column","5µm","","50mm","2.1mm","","","active"
"REST-9309A12","9309A12","Raptor Biphenyl, 2.7 µm, 100 x 2.1 mm HPLC Column","Restek","HPLC Column","2.7µm","","100mm","2.1mm","Biphenyl","","active"
"REST-9309A12-T","9309A12-T","Raptor Inert Biphenyl, 2.7 µm, 100 x 2.1 mm HPLC Column","Restek","HPLC Column","2.7µm","","100mm","2.1mm","Biphenyl","","active"
"REST-962931E","962931E","Force Biphenyl, 3 µm, 100 x 3.0 mm LC Column","Restek","HPLC Column","3µm","","100mm","3.0mm","Biphenyl","","active"
"REST-9319A12","9319A12","Raptor FluoroPhenyl, 2.7 µm, 100 x 2.1 mm HPLC Column","Restek","HPLC Column","2.7µm","","100mm","2.1mm","FluoroPhenyl","","active"
"REST-9303A62","9303A62","Raptor C8, 2.7 µm, 150 x 2.1 mm HPLC Column","Restek","HPLC Column","2.7µm","","150mm","2.1mm","C8","","active"
"REST-9311A12-T","9311A12-T","Raptor Inert Polar X, 2.7 µm, 100 x 2.1 mm LC Column","Restek","HPLC Column","2.7µm","","100mm","2.1mm","Polar","","active"
"REST-9314A62-T","9314A62-T","Raptor Inert ARC-18, 2.7 µm, 150 x 2.1 mm HPLC Column","Restek","HPLC Column","2.7µm","","150mm","2.1mm","ARC-18","","active"
"REST-9303A15","9303A15","Raptor C8, 2.7 µm, 100 x 4.6 mm HPLC Column","Restek","HPLC Column","2.7µm","","100mm","4.6mm","C8","","active"
"REST-916556E-T","916556E-T","Allure Inert Organic Acids, 5 µm, 150 x 3.0 mm HPLC Column","Restek","HPLC Column","5µm","","150mm","3.0mm","Organic","","active"
"REST-9310A52-T","9310A52-T","Raptor Inert HILIC-Si, 2.7 µm, 50 x 2.1 mm HPLC Column","Restek","HPLC Column","2.7µm","","50mm","2.1mm","HILIC-Si","","active"
"REST-9311A52-T","9311A52-T","Raptor Inert Polar X, 2.7 µm, 50 x 2.1 mm LC Column","Restek","HPLC Column","2.7µm","","50mm","2.1mm","Polar","","active"
"REST-963431E-T","963431E-T","Force Inert C18, 3 µm, 100 x 3.0 mm LC Column","Restek","HPLC Column","3µm","","100mm","3.0mm","C18","","active"
"REST-9634252-T","9634252-T","Force Inert C18, 1.8 µm, 50 x 2.1 mm LC Column","Restek","HPLC Column","1.8µm","","50mm","2.1mm","C18","","active"
"REST-9319A1E-T","9319A1E-T","Raptor Inert FluoroPhenyl, 2.7 µm, 100 x 3.0 mm HPLC Column","Restek","HPLC Column","2.7µm","","100mm","3.0mm","FluoroPhenyl","","active"
"REST-9175332-T","9175332-T","Ultra Inert IBD, 3 µm, 30 x 2.1 mm HPLC Column","Restek","HPLC Column","3µm","","30mm","2.1mm","IBD","","active"
"REST-9304A1E-T","9304A1E-T","Raptor Inert C18, 2.7 µm, 100 x 3.0 mm HPLC Column","Restek","HPLC Column","2.7µm","","100mm","3.0mm","C18","","active"
"REST-9303A52","9303A52","Raptor C8, 2.7 µm, 50 x 2.1 mm HPLC Column","Restek","HPLC Column","2.7µm","","50mm","2.1mm","C8","","active"
"REST-9309512-T","9309512-T","Raptor Inert Biphenyl, 5 µm, 100 x 2.1 mm HPLC Column","Restek","HPLC Column","5µm","","100mm","2.1mm","Biphenyl","","active"
"REST-9309252-T","9309252-T","Raptor Inert Biphenyl, 1.8 µm, 50 x 2.1 mm HPLC Column","Restek","HPLC Column","1.8µm","","50mm","2.1mm","Biphenyl","","active"
"REST-9304A62-T","9304A62-T","Raptor Inert C18, 2.7 µm, 150 x 2.1 mm HPLC Column","Restek","HPLC Column","2.7µm","","150mm","2.1mm","C18","","active"
"REST-9303A5E","9303A5E","Raptor C8, 2.7 µm, 50 x 3.0 mm HPLC Column","Restek","HPLC Column","2.7µm","","50mm","3.0mm","C8","","active"
"REST-9629212-T","9629212-T","Force Inert Biphenyl, 1.8 µm, 100 x 2.1 mm LC Column","Restek","HPLC Column","1.8µm","","100mm","2.1mm","Biphenyl","","active"
"REST-9309A6E-T","9309A6E-T","Raptor Inert Biphenyl, 2.7 µm, 150 x 3.0 mm HPLC Column","Restek","HPLC Column","2.7µm","","150mm","3.0mm","Biphenyl","","active"
"REST-930925E-T","930925E-T","Raptor Inert Biphenyl, 1.8 µm, 50 x 3.0 mm HPLC Column","Restek","HPLC Column","1.8µm","","50mm","3.0mm","Biphenyl","","active"
"REST-9303A65","9303A65","Raptor C8, 2.7 µm, 150 x 4.6 mm HPLC Column","Restek","HPLC Column","2.7µm","","150mm","4.6mm","C8","","active"
"REST-9634352-T","9634352-T","Force Inert C18, 3 µm, 50 x 2.1 mm LC Column","Restek","HPLC Column","3µm","","50mm","2.1mm","C18","","active"
"REST-9309A15-T","9309A15-T","Raptor Inert Biphenyl, 2.7 µm, 100 x 4.6 mm HPLC Column","Restek","HPLC Column","2.7µm","","100mm","4.6mm","Biphenyl","","active"
"REST-9311A32-T","9311A32-T","Raptor Inert Polar X, 2.7 µm, 30 x 2.1 mm LC Column","Restek","HPLC Column","2.7µm","","30mm","2.1mm","Polar","","active"
"REST-963931E-T","963931E-T","Force Inert FluoroPhenyl, 3 µm, 100 x 3.0 mm LC Column","Restek","HPLC Column","3µm","","100mm","3.0mm","FluoroPhenyl","","active"
"REST-9310A12-T","9310A12-T","Raptor Inert HILIC-Si, 2.7 µm, 100 x 2.1 mm HPLC Column","Restek","HPLC Column","2.7µm","","100mm","2.1mm","HILIC-Si","","active"
"REST-9175565-T","9175565-T","Ultra Inert IBD, 5 µm, 150 x 4.6 mm HPLC Column","Restek","HPLC Column","5µm","","150mm","4.6mm","IBD","","active"
"REST-9314262-T","9314262-T","Raptor Inert ARC-18, 1.8 µm, 150 x 2.1 mm HPLC Column","Restek","HPLC Column","1.8µm","","150mm","2.1mm","ARC-18","","active"
"REST-9319212-T","9319212-T","Raptor Inert FluoroPhenyl, 1.8 µm, 100 x 2.1 mm HPLC Column","Restek","HPLC Column","1.8µm","","100mm","2.1mm","FluoroPhenyl","","active"
"REST-9304212-T","9304212-T","Raptor Inert C18, 1.8 µm, 100 x 2.1 mm HPLC Column","Restek","HPLC Column","1.8µm","","100mm","2.1mm","C18","","active"
"REST-9303A12","9303A12","Raptor C8, 2.7 µm, 100 x 2.1 mm HPLC Column","Restek","HPLC Column","2.7µm","","100mm","2.1mm","C8","","active"
"ACE-76382-576","76382-576","ACE C18, HPLC Columns, 5 µm - C18 5um 4.60mm x 50mm","ACE","HPLC Column","5 µm","100 Å","50 mm","4.60 mm","C18","","active"
"ACE-76386-626","76386-626","ACE C18, HPLC Columns, 5 µm - C18 5um 4.60mm x 75mm","ACE","HPLC Column","5 µm","100 Å","75 mm","4.60 mm","C18","","active"
"ACE-76386-014","76386-014","ACE C18, HPLC Columns, 5 µm - C18 5um 4.60mm x 100mm","ACE","HPLC Column","5 µm","100 Å","100 mm","4.60 mm","C18","","active"
"ACE-76382-577","76382-577","ACE C18, HPLC Columns, 5 µm - C18 5um 4.60mm x 125mm","ACE","HPLC Column","5 µm","100 Å","125 mm","4.60 mm","C18","","active"
"ACE-76382-578","76382-578","ACE C18, HPLC Columns, 5 µm - C18 5um 4.60mm x 150mm","ACE","HPLC Column","5 µm","100 Å","150 mm","4.60 mm","C18","","active"
"ACE-76386-198","76386-198","ACE C18, HPLC Columns, 5 µm - C18 5um 4.60mm x 200mm","ACE","HPLC Column","5 µm","100 Å","200 mm","4.60 mm","C18","","active"
"ACE-76386-374","76386-374","ACE C18, HPLC Columns, 5 µm - C18 5um 4.60mm x 300mm","ACE","HPLC Column","5 µm","100 Å","300 mm","4.60 mm","C18","","active"
"ACE-76385-988","76385-988","ACE C18, HPLC Columns, 5 µm - C18 5um 7.75mm x 100mm","ACE","HPLC Column","5 µm","100 Å","100 mm","7.75 mm","C18","","active"
"ACE-76386-148","76386-148","ACE C18, HPLC Columns, 5 µm - C18 5um 7.75mm x 150mm","ACE","HPLC Column","5 µm","100 Å","150 mm","7.75 mm","C18","","active"
"ACE-76386-306","76386-306","ACE C18, HPLC Columns, 5 µm - C18 5um 7.75mm x 250mm","ACE","HPLC Column","5 µm","100 Å","250 mm","7.75 mm","C18","","active"
"ACE-76385-990","76385-990","ACE C18, HPLC Columns, 5 µm - C18 5um 8.00mm x 100mm","ACE","HPLC Column","5 µm","100 Å","100 mm","8.00 mm","C18","","active"
"ACE-76386-150","76386-150","ACE C18, HPLC Columns, 5 µm - C18 5um 10.00mm x 150mm","ACE","HPLC Column","5 µm","100 Å","150 mm","10.00 mm","C18","","active"
"ACE-76386-308","76386-308","ACE C18, HPLC Columns, 5 µm - C18 5um 10.00mm x 250mm","ACE","HPLC Column","5 µm","100 Å","250 mm","10.00 mm","C18","","active"
"ACE-76386-002","76386-002","ACE C18, HPLC Columns, 5 µm - C18 5um 21.20mm x 100mm","ACE","HPLC Column","5 µm","100 Å","100 mm","21.20 mm","C18","","active"
"ACE-76386-102","76386-102","ACE C18, HPLC Columns, 5 µm - C18 5um 21.20mm x 125mm","ACE","HPLC Column","5 µm","100 Å","125 mm","21.20 mm","C18","","active"
"ACE-76386-152","76386-152","ACE C18, HPLC Columns, 5 µm - C18 5um 21.20mm x 150mm","ACE","HPLC Column","5 µm","100 Å","150 mm","21.20 mm","C18","","active"
"ACE-76386-310","76386-310","ACE C18, HPLC Columns, 5 µm - C18 5um 21.20mm x 250mm","ACE","HPLC Column","5 µm","100 Å","250 mm","21.20 mm","C18","","active"
"ACE-76386-312","76386-312","ACE C18, HPLC Columns, 5 µm - C18 5um 30.00mm x 250mm","ACE","HPLC Column","5 µm","100 Å","250 mm","30.00 mm","C18","","active"
"ACE-76384-064","76384-064","ACE C18-PFP, HPLC Columns, 3 µm - C18-PFP 3um 0.30mm x 50mm","ACE","HPLC Column","3 µm","100 Å","50 mm","0.30 mm","C18-PFP","2.0-10.0","active"
"ACE-76384-066","76384-066","ACE C18-PFP, HPLC Columns, 3 µm - C18-PFP 3um 0.30mm x 100mm","ACE","HPLC Column","3 µm","100 Å","100 mm","0.30 mm","C18-PFP","2.0-10.0","active"
"ACE-76384-130","76384-130","ACE C18-PFP, HPLC Columns, 3 µm - C18-PFP 3um 0.30mm x 150mm","ACE","HPLC Column","3 µm","100 Å","150 mm","0.30 mm","C18-PFP","2.0-10.0","active"
"ACE-76384-068","76384-068","ACE C18-PFP, HPLC Columns, 3 µm - C18-PFP 3um 0.50mm x 50mm","ACE","HPLC Column","3 µm","100 Å","50 mm","0.50 mm","C18-PFP","2.0-10.0","active"
"ACE-76384-090","76384-090","ACE C18-PFP, HPLC Columns, 3 µm - C18-PFP 3um 0.50mm x 100mm","ACE","HPLC Column","3 µm","100 Å","100 mm","0.50 mm","C18-PFP","2.0-10.0","active"
"ACE-76384-132","76384-132","ACE C18-PFP, HPLC Columns, 3 µm - C18-PFP 3um 0.50mm x 150mm","ACE","HPLC Column","3 µm","100 Å","150 mm","0.50 mm","C18-PFP","2.0-10.0","active"
"ACE-76384-070","76384-070","ACE C18-PFP, HPLC Columns, 3 µm - C18-PFP 3um 1.00mm x 50mm","ACE","HPLC Column","3 µm","100 Å","50 mm","1.00 mm","C18-PFP","2.0-10.0","active"
"ACE-76384-072","76384-072","ACE C18-PFP, HPLC Columns, 3 µm - C18-PFP 3um 1.00mm x 100mm","ACE","HPLC Column","3 µm","100 Å","100 mm","1.00 mm","C18-PFP","2.0-10.0","active"
"ACE-76384-134","76384-134","ACE C18-PFP, HPLC Columns, 3 µm - C18-PFP 3um 1.00mm x 150mm","ACE","HPLC Column","3 µm","100 Å","150 mm","1.00 mm","C18-PFP","2.0-10.0","active"
"ACE-76384-074","76384-074","ACE C18-PFP, HPLC Columns, 3 µm - C18-PFP 3um 2.10mm x 30mm","ACE","HPLC Column","3 µm","100 Å","30 mm","2.10 mm","C18-PFP","2.0-10.0","active"
"ACE-76384-076","76384-076","ACE C18-PFP, HPLC Columns, 3 µm - C18-PFP 3um 2.10mm x 50mm","ACE","HPLC Column","3 µm","100 Å","50 mm","2.10 mm","C18-PFP","2.0-10.0","active"
"ACE-76384-098","76384-098","ACE C18-PFP, HPLC Columns, 3 µm - C18-PFP 3um 2.10mm x 100mm","ACE","HPLC Column","3 µm","100 Å","100 mm","2.10 mm","C18-PFP","2.0-10.0","active"
"ACE-76384-120","76384-120","ACE C18-PFP, HPLC Columns, 3 µm - C18-PFP 3um 2.10mm x 125mm","ACE","HPLC Column","3 µm","100 Å","125 mm","2.10 mm","C18-PFP","2.0-10.0","active"
"ACE-76384-142","76384-142","ACE C18-PFP, HPLC Columns, 3 µm - C18-PFP 3um 2.10mm x 150mm","ACE","HPLC Column","3 µm","100 Å","150 mm","2.10 mm","C18-PFP","2.0-10.0","active"
"ACE-76384-060","76384-060","ACE C18-PFP, HPLC Columns, 3 µm - C18-PFP 3um 3.00mm x 30mm","ACE","HPLC Column","3 µm","100 Å","30 mm","3.00 mm","C18-PFP","2.0-10.0","active"
"ACE-76384-080","76384-080","ACE C18-PFP, HPLC Columns, 3 µm - C18-PFP 3um 3.00mm x 50mm","ACE","HPLC Column","3 µm","100 Å","50 mm","3.00 mm","C18-PFP","2.0-10.0","active"
"ACE-76384-100","76384-100","ACE C18-PFP, HPLC Columns, 3 µm - C18-PFP 3um 3.00mm x 100mm","ACE","HPLC Column","3 µm","100 Å","100 mm","3.00 mm","C18-PFP","2.0-10.0","active"
"ACE-76384-122","76384-122","ACE C18-PFP, HPLC Columns, 3 µm - C18-PFP 3um 3.00mm x 125mm","ACE","HPLC Column","3 µm","100 Å","125 mm","3.00 mm","C18-PFP","2.0-10.0","active"
"ACE-76384-144","76384-144","ACE C18-PFP, HPLC Columns, 3 µm - C18-PFP 3um 3.00mm x 150mm","ACE","HPLC Column","3 µm","100 Å","150 mm","3.00 mm","C18-PFP","2.0-10.0","active"
"ACE-76384-062","76384-062","ACE C18-PFP, HPLC Columns, 3 µm - C18-PFP 3um 4.00mm x 30mm","ACE","HPLC Column","3 µm","100 Å","30 mm","4.00 mm","C18-PFP","2.0-10.0","active"
"ACE-76384-082","76384-082","ACE C18-PFP, HPLC Columns, 3 µm - C18-PFP 3um 4.00mm x 50mm","ACE","HPLC Column","3 µm","100 Å","50 mm","4.00 mm","C18-PFP","2.0-10.0","active"
"ACE-76384-102","76384-102","ACE C18-PFP, HPLC Columns, 3 µm - C18-PFP 3um 4.00mm x 100mm","ACE","HPLC Column","3 µm","100 Å","100 mm","4.00 mm","C18-PFP","2.0-10.0","active"
"ACE-76384-124","76384-124","ACE C18-PFP, HPLC Columns, 3 µm - C18-PFP 3um 4.00mm x 125mm","ACE","HPLC Column","3 µm","100 Å","125 mm","4.00 mm","C18-PFP","2.0-10.0","active"
"ACE-76384-146","76384-146","ACE C18-PFP, HPLC Columns, 3 µm - C18-PFP 3um 4.00mm x 150mm","ACE","HPLC Column","3 µm","100 Å","150 mm","4.00 mm","C18-PFP","2.0-10.0","active"
"ACE-76384-063","76384-063","ACE C18-PFP, HPLC Columns, 3 µm - C18-PFP 3um 4.60mm x 30mm","ACE","HPLC Column","3 µm","100 Å","30 mm","4.60 mm","C18-PFP","2.0-10.0","active"
"ACE-76384-083","76384-083","ACE C18-PFP, HPLC Columns, 3 µm - C18-PFP 3um 4.60mm x 50mm","ACE","HPLC Column","3 µm","100 Å","50 mm","4.60 mm","C18-PFP","2.0-10.0","active"
"ACE-76384-104","76384-104","ACE C18-PFP, HPLC Columns, 3 µm - C18-PFP 3um 4.60mm x 100mm","ACE","HPLC Column","3 µm","100 Å","100 mm","4.60 mm","C18-PFP","2.0-10.0","active"
"ACE-76384-126","76384-126","ACE C18-PFP, HPLC Columns, 3 µm - C18-PFP 3um 4.60mm x 125mm","ACE","HPLC Column","3 µm","100 Å","125 mm","4.60 mm","C18-PFP","2.0-10.0","active"
"ACE-76384-148","76384-148","ACE C18-PFP, HPLC Columns, 3 µm - C18-PFP 3um 4.60mm x 150mm","ACE","HPLC Column","3 µm","100 Å","150 mm","4.60 mm","C18-PFP","2.0-10.0","active"
"ACE-76384-168","76384-168","ACE C18-PFP, HPLC Columns, 3 µm - C18-PFP 3um 4.60mm x 200mm","ACE","HPLC Column","3 µm","100 Å","200 mm","4.60 mm","C18-PFP","2.0-10.0","active"
"ACE-76384-188","76384-188","ACE C18-PFP, HPLC Columns, 3 µm - C18-PFP 3um 4.60mm x 250mm","ACE","HPLC Column","3 µm","100 Å","250 mm","4.60 mm","C18-PFP","2.0-10.0","active"
"AVAN-76394-738","76394-738","Avantor® ACE® Generix® C18 & C18(2), Analytical HPLC Columns","Avantor","HPLC Column","3 µm","110 Å","50 mm","2.10 mm","C18","2.0 - 8.0","active"
"AVAN-76394-740","76394-740","Avantor® ACE® Generix® C18 & C18(2), Analytical HPLC Columns","Avantor","HPLC Column","3 µm","110 Å","100 mm","2.10 mm","C18","2.0 - 8.0","active"
"AVAN-76394-742","76394-742","Avantor® ACE® Generix® C18 & C18(2), Analytical HPLC Columns","Avantor","HPLC Column","3 µm","110 Å","100 mm","4.60 mm","C18","2.0 - 8.0","active"
"AVAN-76394-744","76394-744","Avantor® ACE® Generix® C18 & C18(2), Analytical HPLC Columns","Avantor","HPLC Column","3 µm","110 Å","150 mm","4.60 mm","C18","2.0 - 8.0","active"
"AVAN-76394-746","76394-746","Avantor® ACE® Generix® C18 & C18(2), Analytical HPLC Columns","Avantor","HPLC Column","3 µm","110 Å","150 mm","4.60 mm","C18","2.0 - 8.0","active"
"AVAN-76394-748","76394-748","Avantor® ACE® Generix® C18 & C18(2), Analytical HPLC Columns","Avantor","HPLC Column","3 µm","95 Å","50 mm","2.10 mm","C18(2)","2.0 - 8.0","active"
"AVAN-76394-750","76394-750","Avantor® ACE® Generix® C18 & C18(2), Analytical HPLC Columns","Avantor","HPLC Column","3 µm","95 Å","50 mm","2.10 mm","C18(2)","2.0 - 8.0","active"
"AVAN-76394-786","76394-786","Avantor® ACE® Generix® C18 & C18(2), Analytical HPLC Columns","Avantor","HPLC Column","3 µm","95 Å","75 mm","2.10 mm","C18(2)","2.0 - 8.0","active"
"AVAN-76394-758","76394-758","Avantor® ACE® Generix® C18 & C18(2), Analytical HPLC Columns","Avantor","HPLC Column","3 µm","95 Å","100 mm","2.10 mm","C18(2)","2.0 - 8.0","active"
"AVAN-76394-768","76394-768","Avantor® ACE® Generix® C18 & C18(2), Analytical HPLC Columns","Avantor","HPLC Column","3 µm","95 Å","125 mm","2.10 mm","C18(2)","2.0 - 8.0","active"
"AVAN-76394-776","76394-776","Avantor® ACE® Generix® C18 & C18(2), Analytical HPLC Columns","Avantor","HPLC Column","3 µm","95 Å","150 mm","2.10 mm","C18(2)","2.0 - 8.0","active"
"AVAN-76394-752","76394-752","Avantor® ACE® Generix® C18 & C18(2), Analytical HPLC Columns","Avantor","HPLC Column","3 µm","95 Å","50 mm","3.00 mm","C18(2)","2.0 - 8.0","active"
"AVAN-76394-790","76394-790","Avantor® ACE® Generix® C18 & C18(2), Analytical HPLC Columns","Avantor","HPLC Column","3 µm","95 Å","75 mm","4.00 mm","C18(2)","2.0 - 8.0","active"
"AVAN-76394-762","76394-762","Avantor® ACE® Generix® C18 & C18(2), Analytical HPLC Columns","Avantor","HPLC Column","3 µm","95 Å","100 mm","4.00 mm","C18(2)","2.0 - 8.0","active"
"AVAN-76394-772","76394-772","Avantor® ACE® Generix® C18 & C18(2), Analytical HPLC Columns","Avantor","HPLC Column","3 µm","95 Å","125 mm","4.00 mm","C18(2)","2.0 - 8.0","active"
"AVAN-76394-780","76394-780","Avantor® ACE® Generix® C18 & C18(2), Analytical HPLC Columns","Avantor","HPLC Column","3 µm","95 Å","150 mm","4.00 mm","C18(2)","2.0 - 8.0","active"
"AVAN-76394-756","76394-756","Avantor® ACE® Generix® C18 & C18(2), Analytical HPLC Columns","Avantor","HPLC Column","3 µm","95 Å","50 mm","4.60 mm","C18(2)","2.0 - 8.0","active"
"AVAN-76394-792","76394-792","Avantor® ACE® Generix® C18 & C18(2), Analytical HPLC Columns","Avantor","HPLC Column","3 µm","95 Å","75 mm","4.60 mm","C18(2)","2.0 - 8.0","active"
"AVAN-76394-764","76394-764","Avantor® ACE® Generix® C18 & C18(2), Analytical HPLC Columns","Avantor","HPLC Column","3 µm","95 Å","100 mm","4.60 mm","C18(2)","2.0 - 8.0","active"
"AVAN-76394-774","76394-774","Avantor® ACE® Generix® C18 & C18(2), Analytical HPLC Columns","Avantor","HPLC Column","3 µm","95 Å","125 mm","4.60 mm","C18(2)","2.0 - 8.0","active"
"AVAN-76394-782","76394-782","Avantor® ACE® Generix® C18 & C18(2), Analytical HPLC Columns","Avantor","HPLC Column","3 µm","95 Å","150 mm","4.60 mm","C18(2)","2.0 - 8.0","active"
"AVAN-76394-784","76394-784","Avantor® ACE® Generix® C18 & C18(2), Analytical HPLC Columns","Avantor","HPLC Column","3 µm","95 Å","150 mm","4.60 mm","C18(2)","2.0 - 8.0","active"
"AVAN-76394-948","76394-948","Avantor® ACE® Generix® C18 & C18(2), Analytical HPLC Columns","Avantor","HPLC Column","5 µm","95 Å","50 mm","2.10 mm","C18(2)","2.0 - 8.0","active"
"AVAN-76394-950","76394-950","Avantor® ACE® Generix® C18 & C18(2), Analytical HPLC Columns","Avantor","HPLC Column","5 µm","95 Å","50 mm","2.10 mm","C18(2)","2.0 - 8.0","active"
"AVAN-76395-000","76395-000","Avantor® ACE® Generix® C18 & C18(2), Analytical HPLC Columns","Avantor","HPLC Column","5 µm","95 Å","75 mm","2.10 mm","C18(2)","2.0 - 8.0","active"
"AVAN-76394-958","76394-958","Avantor® ACE® Generix® C18 & C18(2), Analytical HPLC Columns","Avantor","HPLC Column","5 µm","95 Å","100 mm","2.10 mm","C18(2)","2.0 - 8.0","active"
"AVAN-76394-966","76394-966","Avantor® ACE® Generix® C18 & C18(2), Analytical HPLC Columns","Avantor","HPLC Column","5 µm","95 Å","125 mm","2.10 mm","C18(2)","2.0 - 8.0","active"
"AVAN-76394-974","76394-974","Avantor® ACE® Generix® C18 & C18(2), Analytical HPLC Columns","Avantor","HPLC Column","5 µm","95 Å","150 mm","2.10 mm","C18(2)","2.0 - 8.0","active"
"AVAN-76394-984","76394-984","Avantor® ACE® Generix® C18 & C18(2), Analytical HPLC Columns","Avantor","HPLC Column","5 µm","95 Å","250 mm","2.10 mm","C18(2)","2.0 - 8.0","active"
"AVAN-76394-952","76394-952","Avantor® ACE® Generix® C18 & C18(2), Analytical HPLC Columns","Avantor","HPLC Column","5 µm","95 Å","50 mm","3.00 mm","C18(2)","2.0 - 8.0","active"
"AVAN-76394-960","76394-960","Avantor® ACE® Generix® C18 & C18(2), Analytical HPLC Columns","Avantor","HPLC Column","5 µm","95 Å","100 mm","3.00 mm","C18(2)","2.0 - 8.0","active"
"AVAN-76394-968","76394-968","Avantor® ACE® Generix® C18 & C18(2), Analytical HPLC Columns","Avantor","HPLC Column","5 µm","95 Å","125 mm","3.00 mm","C18(2)","2.0 - 8.0","active"
"AVAN-76394-976","76394-976","Avantor® ACE® Generix® C18 & C18(2), Analytical HPLC Columns","Avantor","HPLC Column","5 µm","95 Å","150 mm","3.00 mm","C18(2)","2.0 - 8.0","active"
"AVAN-76394-956","76394-956","Avantor® ACE® Generix® C18 & C18(2), Analytical HPLC Columns","Avantor","HPLC Column","5 µm","95 Å","50 mm","4.60 mm","C18(2)","2.0 - 8.0","active"
"AVAN-76394-964","76394-964","Avantor® ACE® Generix® C18 & C18(2), Analytical HPLC Columns","Avantor","HPLC Column","5 µm","95 Å","100 mm","4.60 mm","C18(2)","2.0 - 8.0","active"
"AVAN-76394-972","76394-972","Avantor® ACE® Generix® C18 & C18(2), Analytical HPLC Columns","Avantor","HPLC Column","5 µm","95 Å","125 mm","4.60 mm","C18(2)","2.0 - 8.0","active"
"AVAN-76394-980","76394-980","Avantor® ACE® Generix® C18 & C18(2), Analytical HPLC Columns","Avantor","HPLC Column","5 µm","95 Å","150 mm","4.60 mm","C18(2)","2.0 - 8.0","active"
"AVAN-76394-986","76394-986","Avantor® ACE® Generix® C18 & C18(2), Analytical HPLC Columns","Avantor","HPLC Column","5 µm","95 Å","250 mm","4.60 mm","C18(2)","2.0 - 8.0","active"
"AVAN-76394-944","76394-944","Avantor® ACE® Generix® C18 & C18(2), Analytical HPLC Columns","Avantor","HPLC Column","5 µm","110 Å","100 mm","4.60 mm","C18","2.0 - 8.0","active"
"AVAN-76394-946","76394-946","Avantor® ACE® Generix® C18 & C18(2), Analytical HPLC Columns","Avantor","HPLC Column","5 µm","110 Å","150 mm","4.60 mm","C18","2.0 - 8.0","active"
"DAIC-80511","80511","CHIRALPAK® IA-3 Guard cartridge ( ×3 )","Daicel","HPLC Column","3","","10","4.0","Immobilized Chiral","","active"
