"productId","partNumber","name","brand","productType","particleSize","poreSize","columnLength","innerDiameter","phaseType","phRange","status"
"AGIL-699975-742","699975-742","InfinityLab Poroshell 120 Aq-C18 4.6 x 50 mm, 2.7 µm","Agilent","HPLC Column","2.7 µm","120 Å (Default for Poroshell 120)","50 mm","4.6 mm","Aq-C18","1.5-10.0","active"
"AGIL-821725-925","821725-925","InfinityLab Poroshell 120 Bonus-RP 2.1 mm, 2.7 µm, UHPLC guard, 3/pk","Agilent","HPLC Column","2.7 µm","120 Å (Default for Poroshell 120)","5 mm","2.1 mm","Bonus-RP","1.5-10.0","active"
"AGIL-695768-901","695768-901","InfinityLab Poroshell 120 Bonus-RP 2.1 x 100 mm, 2.7 µm","Agilent","HPLC Column","2.7 µm","120 Å (Default for Poroshell 120)","100 mm","2.1 mm","Bonus-RP","1.5-10.0","active"
"AGIL-695768-901K","695768-901K","InfinityLab Poroshell 120 Bonus-RP 2.1 x 100 mm, 2.7 µm, MVK, 3/pk","Agilent","HPLC Column","2.7 µm","120 Å (Default for Poroshell 120)","100 mm","2.1 mm","Bonus-RP","1.5-10.0","active"
"AGIL-695768-901T","695768-901T","InfinityLab Poroshell 120 Bonus-RP 2.1 x 100 mm, 2.7 µm, with column ID","Agilent","HPLC Column","2.7 µm","120 Å (Default for Poroshell 120)","100 mm","2.1 mm","Bonus-RP","1.5-10.0","active"
"AGIL-693768-901","693768-901","InfinityLab Poroshell 120 Bonus-RP 2.1 x 150 mm, 2.7 µm","Agilent","HPLC Column","2.7 µm","120 Å (Default for Poroshell 120)","150 mm","2.1 mm","Bonus-RP","1.5-10.0","active"
"AGIL-693768-901K","693768-901K","InfinityLab Poroshell 120 Bonus-RP 2.1 x 150 mm, 2.7 µm, MVK, 3/pk","Agilent","HPLC Column","2.7 µm","120 Å (Default for Poroshell 120)","150 mm","2.1 mm","Bonus-RP","1.5-10.0","active"
"AGIL-693768-901T","693768-901T","InfinityLab Poroshell 120 Bonus-RP 2.1 x 150 mm, 2.7 µm, with column ID","Agilent","HPLC Column","2.7 µm","120 Å (Default for Poroshell 120)","150 mm","2.1 mm","Bonus-RP","1.5-10.0","active"
"AGIL-699768-901","699768-901","InfinityLab Poroshell 120 Bonus-RP 2.1 x 50 mm, 2.7 µm","Agilent","HPLC Column","2.7 µm","120 Å (Default for Poroshell 120)","50 mm","2.1 mm","Bonus-RP","1.5-10.0","active"
"AGIL-699768-901K","699768-901K","InfinityLab Poroshell 120 Bonus-RP 2.1 x 50 mm, 2.7 µm, MVK, 3/pk","Agilent","HPLC Column","2.7 µm","120 Å (Default for Poroshell 120)","50 mm","2.1 mm","Bonus-RP","1.5-10.0","active"
