productId,partNumber,brand,name,catalogUrl
AVAN-ACE-114-0103GD,ACE-114-0103GD,Avantor,"ACE® Guard Cartridge CN 3µm",
AVAN-ACE-115-0103GD,ACE-115-0103GD,Avantor,"ACE® Guard Cartridge Phenyl 3µm",
AVAN-ACE-116-0103GD,ACE-116-0103GD,Avantor,"ACE® Guard Cartridge AQ 3µm",
AVAN-ACE-117-0103GD,ACE-117-0103GD,Avantor,"ACE® Guard Cartridge Sil 3µm",
AVAN-ACE-121-0101GD,ACE-121-0101GD,Avantor,"ACE® Guard Cartridge C18 5µm",
AVAN-ACE-122-0101GD,ACE-122-0101GD,Avantor,"ACE® Guard Cartridge C8 5µm",
AVAN-ACE-123-0101GD,ACE-123-0101GD,Avantor,"ACE® Guard Cartridge C4 5µm",
AVAN-ACE-124-0101GD,ACE-124-0101GD,Avantor,"ACE® Guard Cartridge CN 5µm",
AVAN-ACE-125-0101GD,ACE-125-0101GD,Avantor,"ACE® Guard Cartridge Phenyl 5µm",
AVAN-ACE-126-0101GD,ACE-126-0101GD,Avantor,"ACE® Guard Cartridge AQ 5µm",
AVAN-ACE-127-0101GD,ACE-127-0101GD,Avantor,"ACE® Guard Cartridge Sil 5µm",
AVAN-ACE-121-0102GD,ACE-121-0102GD,Avantor,"ACE® Guard Cartridge C18 5µm",
AVAN-ACE-122-0102GD,ACE-122-0102GD,Avantor,"ACE® Guard Cartridge C8 5µm",
AVAN-ACE-123-0102GD,ACE-123-0102GD,Avantor,"ACE® Guard Cartridge C4 5µm",
AVAN-ACE-124-0102GD,ACE-124-0102GD,Avantor,"ACE® Guard Cartridge CN 5µm",
AVAN-ACE-125-0102GD,ACE-125-0102GD,Avantor,"ACE® Guard Cartridge Phenyl 5µm",
AVAN-ACE-126-0102GD,ACE-126-0102GD,Avantor,"ACE® Guard Cartridge AQ 5µm",
AVAN-ACE-127-0102GD,ACE-127-0102GD,Avantor,"ACE® Guard Cartridge Sil 5µm",
AVAN-ACE-121-0103GD,ACE-121-0103GD,Avantor,"ACE® Guard Cartridge C18 5µm",
AVAN-ACE-122-0103GD,ACE-122-0103GD,Avantor,"ACE® Guard Cartridge C8 5µm",
AVAN-ACE-123-0103GD,ACE-123-0103GD,Avantor,"ACE® Guard Cartridge C4 5µm",
AVAN-ACE-124-0103GD,ACE-124-0103GD,Avantor,"ACE® Guard Cartridge CN 5µm",
AVAN-ACE-125-0103GD,ACE-125-0103GD,Avantor,"ACE® Guard Cartridge Phenyl 5µm",
AVAN-ACE-126-0103GD,ACE-126-0103GD,Avantor,"ACE® Guard Cartridge AQ 5µm",
AVAN-ACE-127-0103GD,ACE-127-0103GD,Avantor,"ACE® Guard Cartridge Sil 5µm",
