productId,partNumber,brand,name
THER-25005-154630,25005-154630,Thermo Fisher Scientific,"Hypersil GOLD™ C18 Selectivity HPLC Columns"
THER-25005-253030,25005-253030,Thermo Fisher Scientific,"Hypersil GOLD™ C18 Selectivity HPLC Columns"
THER-25005-254630,25005-254630,Thermo Fisher Scientific,"Hypersil GOLD™ C18 Selectivity HPLC Columns"
THER-25012-029223,25012-029223,Thermo Fisher Scientific,"Hypersil GOLD™ C18 Selectivity HPLC Columns"
THER-25012-022130,25012-022130,Thermo Fisher Scientific,"Hypersil GOLD™ C18 Selectivity HPLC Columns"
THER-25002-104630,25002-104630,Thermo Fisher Scientific,"Hypersil GOLD™ C18 Selectivity HPLC Columns"
THER-26098-0200,26098-0200,Thermo Fisher Scientific,"TraceGOLD™ TG-5MS GC Columns, 0.25μm, 0.25mm I.D., 30m length"
THER-26098-0205,26098-0205,Thermo Fisher Scientific,"TraceGOLD™ TG-5MS Guard GC Columns with SafeGuard, 5m x 0.25mm I.D. x 0.25μm"
THER-26098-0300,26098-0300,Thermo Fisher Scientific,"TraceGOLD™ TG-WaxMS GC Columns, 0.25μm, 0.25mm I.D., 30m length"
THER-26098-0305,26098-0305,Thermo Fisher Scientific,"TraceGOLD™ TG-WaxMS GC Columns, 0.5μm, 0.25mm I.D., 30m length"
THER-26098-0310,26098-0310,Thermo Fisher Scientific,"TraceGOLD™ TG-WaxMS GC Columns, 1.0μm, 0.25mm I.D., 30m length"
THER-26098-0315,26098-0315,Thermo Fisher Scientific,"TraceGOLD™ TG-WaxMS GC Columns, 0.25μm, 0.32mm I.D., 30m length"
THER-26098-0320,26098-0320,Thermo Fisher Scientific,"TraceGOLD™ TG-WaxMS GC Columns, 0.5μm, 0.32mm I.D., 30m length"
THER-26098-0325,26098-0325,Thermo Fisher Scientific,"TraceGOLD™ TG-WaxMS GC Columns, 1.0μm, 0.32mm I.D., 30m length"
THER-26098-0330,26098-0330,Thermo Fisher Scientific,"TraceGOLD™ TG-WaxMS GC Columns, 0.25μm, 0.53mm I.D., 30m length"
THER-26098-0335,26098-0335,Thermo Fisher Scientific,"TraceGOLD™ TG-WaxMS GC Columns, 1.0μm, 0.53mm I.D., 30m length"
THER-26098-0340,26098-0340,Thermo Fisher Scientific,"TraceGOLD™ TG-WaxMS GC Columns, 1.5μm, 0.53mm I.D., 30m length"
THER-26098-0345,26098-0345,Thermo Fisher Scientific,"TraceGOLD™ TG-WaxMS GC Columns, 3.0μm, 0.53mm I.D., 30m length"
THER-26098-0400,26098-0400,Thermo Fisher Scientific,"TraceGOLD TG-5HT GC Columns, 0.1μm, 0.25mm I.D., 15m length"
THER-26098-0405,26098-0405,Thermo Fisher Scientific,"TraceGOLD TG-5HT GC Columns, 0.25μm, 0.25mm I.D., 30m length"
THER-26098-0410,26098-0410,Thermo Fisher Scientific,"TraceGOLD TG-5HT GC Columns, 0.5μm, 0.25mm I.D., 30m length"
THER-26098-0415,26098-0415,Thermo Fisher Scientific,"TraceGOLD TG-5HT GC Columns, 0.1μm, 0.32mm I.D., 15m length"
THER-26098-0420,26098-0420,Thermo Fisher Scientific,"TraceGOLD TG-5HT GC Columns, 0.25μm, 0.32mm I.D., 30m length"
THER-26098-0425,26098-0425,Thermo Fisher Scientific,"TraceGOLD TG-5HT GC Columns, 0.5μm, 0.32mm I.D., 30m length"
THER-26098-0430,26098-0430,Thermo Fisher Scientific,"TraceGOLD TG-5HT GC Columns, 0.1μm, 0.53mm I.D., 15m length"
THER-26098-0435,26098-0435,Thermo Fisher Scientific,"TraceGOLD TG-5HT GC Columns, 0.25μm, 0.53mm I.D., 30m length"
THER-26098-0440,26098-0440,Thermo Fisher Scientific,"TraceGOLD TG-5HT GC Columns, 1.0μm, 0.53mm I.D., 30m length"
THER-26098-0500,26098-0500,Thermo Fisher Scientific,"TraceGOLD™ TG-624 and TG-624SilMS GC Columns, 0.25μm, 0.25mm I.D., 30m length"
THER-26098-0505,26098-0505,Thermo Fisher Scientific,"TraceGOLD™ TG-624 and TG-624SilMS GC Columns, 0.5μm, 0.25mm I.D., 30m length"
THER-26098-0510,26098-0510,Thermo Fisher Scientific,"TraceGOLD™ TG-624 and TG-624SilMS GC Columns, 1.4μm, 0.25mm I.D., 30m length"
THER-26098-0515,26098-0515,Thermo Fisher Scientific,"TraceGOLD™ TG-624 and TG-624SilMS GC Columns, 0.25μm, 0.32mm I.D., 30m length"
THER-26098-0520,26098-0520,Thermo Fisher Scientific,"TraceGOLD™ TG-624 and TG-624SilMS GC Columns, 0.5μm, 0.32mm I.D., 30m length"
THER-26098-0525,26098-0525,Thermo Fisher Scientific,"TraceGOLD™ TG-624 and TG-624SilMS GC Columns, 1.8μm, 0.32mm I.D., 30m length"
THER-26098-0530,26098-0530,Thermo Fisher Scientific,"TraceGOLD™ TG-624 and TG-624SilMS GC Columns, 3.0μm, 0.32mm I.D., 30m length"
THER-26098-0535,26098-0535,Thermo Fisher Scientific,"TraceGOLD™ TG-624 and TG-624SilMS GC Columns, 0.25μm, 0.53mm I.D., 30m length"
THER-26098-0540,26098-0540,Thermo Fisher Scientific,"TraceGOLD™ TG-624 and TG-624SilMS GC Columns, 1.0μm, 0.53mm I.D., 30m length"
THER-26098-0545,26098-0545,Thermo Fisher Scientific,"TraceGOLD™ TG-624 and TG-624SilMS GC Columns, 3.0μm, 0.53mm I.D., 30m length"
