productId,partNumber,brand,name,description,descriptionQuality,specifications,url,status
THER-25003-154630,25003-154630,Thermo Fisher Scientific,Hypersil GOLD™ C18 Selectivity HPLC Columns,"Use these endcapped, ultrapure, silica-based columns to generate exceptional peak shape and resolution for HPLC and LC/MS analyses using generic gradients",high,"{""Column Format"": ""Analytical Column"", ""Column Type"": ""Reversed Phase"", ""Endcapped"": ""Yes"", ""For Use With"": ""LC/MS"", ""Max. Pressure"": ""5800 psi (400 bar)"", ""Packing Material"": ""Spherical, Fully Porous, Ultrapure Silica"", ""Stationary Phase"": ""C18 Selectivity"", ""Surface Area"": ""220 m²/g"", ""Temperature"": ""60°C"", ""USP Type"": ""L1"", ""Carbon Load"": ""10%"", ""Diameter (Metric)"": ""4.6 mm"", ""Length (Metric)"": ""150 mm"", ""Particle Size"": ""3 μm"", ""Phase"": ""Reversed Phase"", ""Pore Size"": ""175 Å"", ""Product Line"": ""Hypersil GOLD"", ""pH"": ""1 to 11"", ""Unit Size"": ""Each""}",https://www.thermofisher.com/order/catalog/product/25003-154630,success
THER-25003-032130,25003-032130,Thermo Fisher Scientific,Hypersil GOLD™ C18 Selectivity HPLC Columns,"Use these endcapped, ultrapure, silica-based columns to generate exceptional peak shape and resolution for HPLC and LC/MS analyses using generic gradients",high,"{""Column Format"": ""Analytical Column"", ""Column Type"": ""Reversed Phase"", ""Endcapped"": ""Yes"", ""For Use With"": ""LC/MS"", ""Max. Pressure"": ""5800 psi (400 bar)"", ""Packing Material"": ""Spherical, Fully Porous, Ultrapure Silica"", ""Stationary Phase"": ""C18 Selectivity"", ""Surface Area"": ""220 m²/g"", ""Temperature"": ""60°C"", ""USP Type"": ""L1"", ""Carbon Load"": ""11%"", ""Diameter (Metric)"": ""2.1 mm"", ""Length (Metric)"": ""30 mm"", ""Particle Size"": ""3 μm"", ""Phase"": ""Reversed Phase"", ""Pore Size"": ""175 Å"", ""Product Line"": ""Hypersil GOLD"", ""pH"": ""1 to 11"", ""Unit Size"": ""Each""}",https://www.thermofisher.com/order/catalog/product/25003-032130,success
THER-25003-034630,25003-034630,Thermo Fisher Scientific,Hypersil GOLD™ C18 Selectivity HPLC Columns,"Use these endcapped, ultrapure, silica-based columns to generate exceptional peak shape and resolution for HPLC and LC/MS analyses using generic gradients",high,"{""Column Format"": ""Analytical Column"", ""Column Type"": ""Reversed Phase"", ""Endcapped"": ""Yes"", ""For Use With"": ""LC/MS"", ""Max. Pressure"": ""5800 psi (400 bar)"", ""Packing Material"": ""Spherical, Fully Porous, Ultrapure Silica"", ""Stationary Phase"": ""C18 Selectivity"", ""Surface Area"": ""220 m²/g"", ""Temperature"": ""60°C"", ""USP Type"": ""L1"", ""Carbon Load"": ""11%"", ""Diameter (Metric)"": ""4.6 mm"", ""Length (Metric)"": ""30 mm"", ""Particle Size"": ""3 μm"", ""Phase"": ""Reversed Phase"", ""Pore Size"": ""175 Å"", ""Product Line"": ""Hypersil GOLD"", ""pH"": ""1 to 11"", ""Unit Size"": ""Each""}",https://www.thermofisher.com/order/catalog/product/25003-034630,success
THER-25003-052130,25003-052130,Thermo Fisher Scientific,Hypersil GOLD™ C18 Selectivity HPLC Columns,"Use these endcapped, ultrapure, silica-based columns to generate exceptional peak shape and resolution for HPLC and LC/MS analyses using generic gradients",high,"{""Column Format"": ""Analytical Column"", ""Column Type"": ""Reversed Phase"", ""Endcapped"": ""Yes"", ""For Use With"": ""LC/MS"", ""Max. Pressure"": ""5800 psi (400 bar)"", ""Packing Material"": ""Spherical, Fully Porous, Ultrapure Silica"", ""Stationary Phase"": ""C18 Selectivity"", ""Surface Area"": ""220 m²/g"", ""Temperature"": ""60°C"", ""USP Type"": ""L1"", ""Carbon Load"": ""11%"", ""Diameter (Metric)"": ""2.1 mm"", ""Length (Metric)"": ""50 mm"", ""Particle Size"": ""3 μm"", ""Phase"": ""Reversed Phase"", ""Pore Size"": ""175 Å"", ""Product Line"": ""Hypersil GOLD"", ""pH"": ""1 to 11"", ""Unit Size"": ""Each""}",https://www.thermofisher.com/order/catalog/product/25003-052130,success
THER-25003-053030,25003-053030,Thermo Fisher Scientific,Hypersil GOLD™ C18 Selectivity HPLC Columns,"Use these endcapped, ultrapure, silica-based columns to generate exceptional peak shape and resolution for HPLC and LC/MS analyses using generic gradients",high,"{""Column Format"": ""Analytical Column"", ""Column Type"": ""Reversed Phase"", ""Endcapped"": ""Yes"", ""For Use With"": ""LC/MS"", ""Max. Pressure"": ""5800 psi (400 bar)"", ""Packing Material"": ""Spherical, Fully Porous, Ultrapure Silica"", ""Stationary Phase"": ""C18 Selectivity"", ""Surface Area"": ""220 m²/g"", ""Temperature"": ""60°C"", ""USP Type"": ""L1"", ""Carbon Load"": ""11%"", ""Diameter (Metric)"": ""3 mm"", ""Length (Metric)"": ""50 mm"", ""Particle Size"": ""3 μm"", ""Phase"": ""Reversed Phase"", ""Pore Size"": ""175 Å"", ""Product Line"": ""Hypersil GOLD"", ""pH"": ""1 to 11"", ""Unit Size"": ""Each""}",https://www.thermofisher.com/order/catalog/product/25003-053030,success
THER-25003-054630,25003-054630,Thermo Fisher Scientific,Hypersil GOLD™ C18 Selectivity HPLC Columns,"Use these endcapped, ultrapure, silica-based columns to generate exceptional peak shape and resolution for HPLC and LC/MS analyses using generic gradients",high,"{""Column Format"": ""Analytical Column"", ""Column Type"": ""Reversed Phase"", ""Endcapped"": ""Yes"", ""For Use With"": ""LC/MS"", ""Max. Pressure"": ""5800 psi (400 bar)"", ""Packing Material"": ""Spherical, Fully Porous, Ultrapure Silica"", ""Stationary Phase"": ""C18 Selectivity"", ""Surface Area"": ""220 m²/g"", ""Temperature"": ""60°C"", ""USP Type"": ""L1"", ""Carbon Load"": ""11%"", ""Diameter (Metric)"": ""4.6 mm"", ""Length (Metric)"": ""50 mm"", ""Particle Size"": ""3 μm"", ""Phase"": ""Reversed Phase"", ""Pore Size"": ""175 Å"", ""Product Line"": ""Hypersil GOLD"", ""pH"": ""1 to 11"", ""Unit Size"": ""Each""}",https://www.thermofisher.com/order/catalog/product/25003-054630,success
THER-25003-101030,25003-101030,Thermo Fisher Scientific,Hypersil GOLD™ C18 Selectivity HPLC Columns,"Use these endcapped, ultrapure, silica-based columns to generate exceptional peak shape and resolution for HPLC and LC/MS analyses using generic gradients",high,"{""Column Format"": ""Analytical Column"", ""Column Type"": ""Reversed Phase"", ""Endcapped"": ""Yes"", ""For Use With"": ""LC/MS"", ""Max. Pressure"": ""5800 psi (400 bar)"", ""Packing Material"": ""Spherical, Fully Porous, Ultrapure Silica"", ""Stationary Phase"": ""C18 Selectivity"", ""Surface Area"": ""220 m²/g"", ""Temperature"": ""60°C"", ""USP Type"": ""L1"", ""Carbon Load"": ""11%"", ""Diameter (Metric)"": ""1 mm"", ""Length (Metric)"": ""100 mm"", ""Particle Size"": ""3 μm"", ""Phase"": ""Reversed Phase"", ""Pore Size"": ""175 Å"", ""Product Line"": ""Hypersil GOLD"", ""pH"": ""1 to 11"", ""Unit Size"": ""Each""}",https://www.thermofisher.com/order/catalog/product/25003-101030,success
THER-25003-102130,25003-102130,Thermo Fisher Scientific,Hypersil GOLD™ C18 Selectivity HPLC Columns,"Use these endcapped, ultrapure, silica-based columns to generate exceptional peak shape and resolution for HPLC and LC/MS analyses using generic gradients",high,"{""Column Format"": ""Analytical Column"", ""Column Type"": ""Reversed Phase"", ""Endcapped"": ""Yes"", ""For Use With"": ""LC/MS"", ""Max. Pressure"": ""5800 psi (400 bar)"", ""Packing Material"": ""Spherical, Fully Porous, Ultrapure Silica"", ""Quantity"": ""Each"", ""Stationary Phase"": ""C18 Selectivity"", ""Surface Area"": ""220 m²/g"", ""Temperature"": ""60°C"", ""USP Type"": ""L1"", ""Carbon Load"": ""11%"", ""Diameter (Metric)"": ""2.1 mm"", ""Length (Metric)"": ""100 mm"", ""Particle Size"": ""3 μm"", ""Phase"": ""Reversed Phase"", ""Pore Size"": ""175 Å"", ""Product Line"": ""Hypersil GOLD"", ""pH"": ""1 to 11"", ""Unit Size"": ""Each""}",https://www.thermofisher.com/order/catalog/product/25003-102130,success
THER-25003-103030,25003-103030,Thermo Fisher Scientific,Hypersil GOLD™ C18 Selectivity HPLC Columns,"Use these endcapped, ultrapure, silica-based columns to generate exceptional peak shape and resolution for HPLC and LC/MS analyses using generic gradients",high,"{""Column Format"": ""Analytical Column"", ""Column Type"": ""Reversed Phase"", ""Endcapped"": ""Yes"", ""For Use With"": ""LC/MS"", ""Max. Pressure"": ""5800 psi (400 bar)"", ""Packing Material"": ""Spherical, Fully Porous, Ultrapure Silica"", ""Stationary Phase"": ""C18 Selectivity"", ""Surface Area"": ""220 m²/g"", ""Temperature"": ""60°C"", ""USP Type"": ""L1"", ""Carbon Load"": ""11%"", ""Diameter (Metric)"": ""3 mm"", ""Length (Metric)"": ""100 mm"", ""Particle Size"": ""3 μm"", ""Phase"": ""Reversed Phase"", ""Pore Size"": ""175 Å"", ""Product Line"": ""Hypersil GOLD"", ""pH"": ""1 to 11"", ""Unit Size"": ""Each""}",https://www.thermofisher.com/order/catalog/product/25003-103030,success
THER-25003-104030,25003-104030,Thermo Fisher Scientific,Hypersil GOLD™ C18 Selectivity HPLC Columns,"Use these endcapped, ultrapure, silica-based columns to generate exceptional peak shape and resolution for HPLC and LC/MS analyses using generic gradients",high,"{""Column Format"": ""Analytical Column"", ""Column Type"": ""Reversed Phase"", ""Endcapped"": ""Yes"", ""For Use With"": ""LC/MS"", ""Max. Pressure"": ""5800 psi (400 bar)"", ""Packing Material"": ""Spherical, Fully Porous, Ultrapure Silica"", ""Stationary Phase"": ""C18 Selectivity"", ""Surface Area"": ""220 m²/g"", ""Temperature"": ""60°C"", ""USP Type"": ""L1"", ""Carbon Load"": ""11%"", ""Diameter (Metric)"": ""4 mm"", ""Length (Metric)"": ""100 mm"", ""Particle Size"": ""3 μm"", ""Phase"": ""Reversed Phase"", ""Pore Size"": ""175 Å"", ""Product Line"": ""Hypersil GOLD"", ""pH"": ""1 to 11"", ""Unit Size"": ""Each""}",https://www.thermofisher.com/order/catalog/product/25003-104030,success
