productId,partNumber,brand,name
"PHEN-SecurityGuard ULTRA C18","SecurityGuard ULTRA C18","Phenomenex","C18"
"PHEN-SecurityGuard ULTRA C8","SecurityGuard ULTRA C8","Phenomenex","C8"
"PHEN-SecurityGuard ULTRA PFP","SecurityGuard ULTRA PFP","Phenomenex","PFP"
"PHEN-SecurityGuard ULTRA HILIC","SecurityGuard ULTRA HILIC","Phenomenex","HILIC"
"PHEN-SecurityGuard ULTRA Phenyl","SecurityGuard ULTRA Phenyl","Phenomenex","Phenyl"
"PHEN-SecurityGuard C18","SecurityGuard C18","Phenomenex","C18"
"PHEN-SecurityGuard C12","SecurityGuard C12","Phenomenex","C12"
"PHEN-SecurityGuard C8","SecurityGuard C8","Phenomenex","C8"
"PHEN-SecurityGuard C5","SecurityGuard C5","Phenomenex","C5"
"PHEN-SecurityGuard C1","SecurityGuard C1","Phenomenex","C1"
"PHEN-SecurityGuard Silica","SecurityGuard Silica","Phenomenex","Silica"
"PHEN-SecurityGuard NH2","SecurityGuard NH2","Phenomenex","NH2"
"PHEN-SecurityGuard CN","SecurityGuard CN","Phenomenex","CN"
"PHEN-SecurityGuard Phenyl","SecurityGuard Phenyl","Phenomenex","Phenyl"
"PHEN-SecurityGuard SCX","SecurityGuard SCX","Phenomenex","SCX"
"PHEN-SecurityGuard SAX","SecurityGuard SAX","Phenomenex","SAX"
"PHEN-SecurityGuard RP-1","SecurityGuard RP-1","Phenomenex","RP-1"
"PHEN-SecurityGuard Polar-RP","SecurityGuard Polar-RP","Phenomenex","Polar-RP"
"PHEN-SecurityGuard Fusion-RP","SecurityGuard Fusion-RP","Phenomenex","Fusion-RP"
"PHEN-SecurityGuard AQ C18","SecurityGuard AQ C18","Phenomenex","AQ C18"
"PHEN-SecurityGuard Gemini C18","SecurityGuard Gemini C18","Phenomenex","Gemini C18"
"PHEN-SecurityGuard Oligo-RP","SecurityGuard Oligo-RP","Phenomenex","Oligo-RP"
"PHEN-SecurityGuard Widepore C18","SecurityGuard Widepore C18","Phenomenex","Widepore C18"
"PHEN-SecurityGuard Widepore C5","SecurityGuard Widepore C5","Phenomenex","Widepore C5"
"PHEN-SecurityGuard Widepore C4","SecurityGuard Widepore C4","Phenomenex","Widepore C4"
"PHEN-SecurityGuard GFC-2000","SecurityGuard GFC-2000","Phenomenex","GFC-2000"
"PHEN-SecurityGuard GFC-3000","SecurityGuard GFC-3000","Phenomenex","GFC-3000"
"PHEN-SecurityGuard GFC-4000","SecurityGuard GFC-4000","Phenomenex","GFC-4000"
"PHEN-SecurityGuard Carbo-H+","SecurityGuard Carbo-H+","Phenomenex","Carbo-H+"
"PHEN-SecurityGuard Carbo-Ag+","SecurityGuard Carbo-Ag+","Phenomenex","Carbo-Ag+"
"PHEN-SecurityGuard Carbo-Pb+2","SecurityGuard Carbo-Pb+2","Phenomenex","Carbo-Pb+2"
"PHEN-SecurityGuard Carbo-Ca+2","SecurityGuard Carbo-Ca+2","Phenomenex","Carbo-Ca+2"
"PHEN-00M-S039-B0-CB","00M-S039-B0-CB","Phenomenex","Strata C18-E 20 µm On-Line Extraction, Cartridge 20 x 2.0 mm, Ea"
"PHEN-8B-S001-DAK","8B-S001-DAK","Phenomenex","Strata C18-E (55 µm, 70 Å), 50 mg / 1 mL, Tubes, 100/Pk"
"PHEN-8B-S001-DAK-A","8B-S001-DAK-A","Phenomenex","Strata C18-E (55um, 70A), 50mg/1mL with ASPEC Cap, 100/PK"
"PHEN-8B-S001-DAK-S","8B-S001-DAK-S","Phenomenex","Strata C18-E (55 µm, 70 Å), 50 mg / 1 mL, Tubes (SAMPLE), 5/Pk"
"PHEN-8B-S001-DAM","8B-S001-DAM","Phenomenex","Strata C18-E (55 µm, 70 Å), 50 mg / 1 mL, Tubes, 500/Pk"
"PHEN-8B-S001-EAK","8B-S001-EAK","Phenomenex","Strata C18-E (55 µm, 70 Å), 100 mg / 1 mL, Tubes, 100/Pk"
"PHEN-8B-S001-EAK-A","8B-S001-EAK-A","Phenomenex","Strata C18-E (55um, 70A), 100mg/1mL with ASPEC Cap, 100/PK"
"PHEN-8B-S001-EAK-S","8B-S001-EAK-S","Phenomenex","Strata C18-E (55 µm, 70 Å), 100 mg / 1 mL, Tubes (SAMPLE), 5/Pk"
"PHEN-8B-S001-EAM","8B-S001-EAM","Phenomenex","Strata C18-E (55 µm, 70 Å), 100 mg / 1 mL, Tubes, 500/Pk"
"PHEN-8B-S001-FBJ","8B-S001-FBJ","Phenomenex","Strata C18-E (55 µm, 70 Å), 200 mg / 3 mL, Tubes, 50/Pk"
"PHEN-8B-S001-FBJ-S","8B-S001-FBJ-S","Phenomenex","Strata C18-E (55 µm, 70 Å), 200 mg / 3 mL, Tubes (SAMPLE), 5/Pk"
"PHEN-8B-S001-FBL","8B-S001-FBL","Phenomenex","Strata C18-E (55 µm, 70 Å), 200 mg / 3 mL, Tubes, 200/Pk"
"PHEN-8B-S001-FCH","8B-S001-FCH","Phenomenex","Strata C18-E (55 µm, 70 Å), 200 mg / 6 mL, Tubes, 30/Pk"
"PHEN-8B-S001-FCH-S","8B-S001-FCH-S","Phenomenex","Strata C18-E (55 µm, 70 Å), 200 mg / 6 mL, Tubes (SAMPLE), 5/Pk"
"PHEN-8B-S001-FBJ-T","8B-S001-FBJ-T","Phenomenex","Strata C18-E (55 µm, 70 Å), 200 mg / 3 mL, Tubes Teflon, 50/Pk"
"PHEN-8B-S001-HBJ","8B-S001-HBJ","Phenomenex","Strata C18-E (55 µm, 70 Å), 500 mg / 3 mL, Tubes, 50/Pk"
"PHEN-8B-S001-HBJ-T","8B-S001-HBJ-T","Phenomenex","Strata C18-E (55 µm, 70 Å), 500 mg / 3 mL, Tubes Teflon, 50/Pk"
"PHEN-8B-S001-HBL","8B-S001-HBL","Phenomenex","Strata C18-E (55 µm, 70 Å), 500 mg / 3 mL, Tubes, 200/Pk"
"PHEN-8B-S001-HCH","8B-S001-HCH","Phenomenex","Strata C18-E (55 µm, 70 Å), 500 mg / 6 mL, Tubes, 30/Pk"
"PHEN-8B-S001-HCH-T","8B-S001-HCH-T","Phenomenex","Strata C18-E (55 µm, 70 Å), 500mg/6mL, Teflon Tubes, 30/Pk"
"PHEN-8B-S001-HCL","8B-S001-HCL","Phenomenex","Strata C18-E (55 µm, 70 Å), 500 mg / 6 mL, Tubes, 200/Pk"
"PHEN-8B-S001-HDG","8B-S001-HDG","Phenomenex","Strata C18-E (55 µm, 70 Å), 500 mg / 12 mL, Giga Tubes, 20/Pk"
