productId,partNumber,brand,name,catalogUrl
"MERC-24217-U","24217-U","Merck","VOCOL Capillary GC Column L × I.D. 60 m × 0.32 mm, df 1.80 μm",""
"MERC-24157","24157","Merck","VOCOL Capillary GC Column L × I.D. 60 m × 0.32 mm, df 3.00 μm",""
"MERC-25320-U","25320-U","Merck","VOCOL Capillary GC Column L × I.D. 30 m × 0.53 mm, df 3.00 μm",""
"MERC-25381","25381","Merck","VOCOL Capillary GC Column L × I.D. 60 m × 0.53 mm, df 3.00 μm",""
"MERC-25358","25358","Merck","VOCOL Capillary GC Column L × I.D. 105 m × 0.53 mm, df 3.00 μm",""
"MERC-24196-U","24196-U","Merck","SPB-20 Capillary GC Column L × I.D. 30 m × 0.25 mm, df 1.00 μm",""
"MERC-28343-U","28343-U","Merck","Equity-1701 Capillary GC Column L × I.D. 15 m × 0.10 mm, df 0.10 μm",""
"MERC-28372-U","28372-U","Merck","Equity-1701 Capillary GC Column L × I.D. 30 m × 0.25 mm, df 0.25 μm",""
"MERC-24103-U","24103-U","Merck","SPB-608 Capillary GC Column L × I.D. 30 m × 0.25 mm, df 0.25 μm",""
"MERC-25312","25312","Merck","SPB-608 Capillary GC Column L × I.D. 30 m × 0.53 mm, df 0.50 μm",""
"MERC-24181","24181","Merck","SPB-50 Capillary GC Column L × I.D. 30 m × 0.25 mm, df 0.25 μm",""
"MERC-25445","25445","Merck","SPB-1000 Capillary GC Column L × I.D. 30 m × 0.53 mm, df 0.50 μm",""
"MERC-24107","24107","Merck","Nukol™ Capillary GC Column L × I.D. 30 m × 0.25 mm, df 0.25 μm",""
"MERC-25326","25326","Merck","Nukol Capillary GC Column L × I.D. 15 m × 0.53 mm, df 0.50 μm",""
"MERC-25327","25327","Merck","Nukol Capillary GC Column L × I.D. 30 m × 0.53 mm, df 0.50 μm",""
"MERC-25353","25353","Merck","Carbowax® Amine Capillary GC Column L × I.D. 30 m × 0.53 mm, df 1.00 μm",""
"MERC-23399-U","23399-U","Merck","Omegawax® 100 Capillary GC Column L × I.D. 15 m × 0.10 mm, df 0.10 μm",""
"MERC-24136","24136","Merck","Omegawax 250 Capillary GC Column L × I.D. 30 m × 0.25 mm, df 0.25 μm",""
"MERC-24152","24152","Merck","Omegawax 320 Capillary GC Column L × I.D. 30 m × 0.32 mm, df 0.25 μm",""
"MERC-24343","24343","Merck","SUPELCOWAX® 10 Capillary GC Column L × I.D. 15 m × 0.10 mm, df 0.10 μm",""
"MERC-24079","24079","Merck","SUPELCOWAX 10 Capillary GC Column L × I.D. 30 m × 0.25 mm, df 0.25 μm",""
"MERC-24081","24081","Merck","SUPELCOWAX 10 Capillary GC Column L × I.D. 60 m × 0.25 mm, df 0.25 μm",""
"MERC-24284","24284","Merck","SUPELCOWAX 10 Capillary GC Column L × I.D. 30 m × 0.25 mm, df 0.50 μm",""
"MERC-24080-U","24080-U","Merck","SUPELCOWAX 10 Capillary GC Column L × I.D. 30 m × 0.32 mm, df 0.25 μm",""
"MERC-24082","24082","Merck","SUPELCOWAX 10 Capillary GC Column L × I.D. 60 m × 0.32 mm, df 0.25 μm",""
"MERC-24084","24084","Merck","SUPELCOWAX 10 Capillary GC Column L × I.D. 30 m × 0.32 mm, df 0.50 μm",""
"MERC-24085-U","24085-U","Merck","SUPELCOWAX 10 Capillary GC Column L × I.D. 60 m × 0.32 mm, df 0.50 μm",""
"MERC-24211","24211","Merck","SUPELCOWAX 10 Capillary GC Column L × I.D. 30 m × 0.32 mm, df 1.00 μm",""
"MERC-24212","24212","Merck","SUPELCOWAX 10 Capillary GC Column L × I.D. 60 m × 0.32 mm, df 1.00 μm",""
"MERC-25325","25325","Merck","SUPELCOWAX 10 Capillary GC Column L × I.D. 30 m × 0.53 mm, df 0.50 μm",""
"MERC-25301-U","25301-U","Merck","SUPELCOWAX 10 Capillary GC Column L × I.D. 30 m × 0.53 mm, df 1.00 μm",""
"MERC-25391","25391","Merck","SUPELCOWAX 10 Capillary GC Column L × I.D. 60 m × 0.53 mm, df 1.00 μm",""
"MERC-25375-U","25375-U","Merck","SUPELCOWAX 10 Capillary GC Column L × I.D. 30 m × 0.53 mm, df 2.00 μm",""
"MERC-25376","25376","Merck","SUPELCOWAX 10 Capillary GC Column L × I.D. 60 m × 0.53 mm, df 2.00 μm",""
"MERC-28880-U","28880-U","Merck","SLB®-IL59 Capillary GC Column L × I.D. 15 m × 0.10 mm, df 0.08 μm",""
"MERC-28891-U","28891-U","Merck","SLB-IL59 Capillary GC Column L × I.D. 30 m × 0.25 mm, df 0.20 μm",""
