productId,partNumber,brand,name
"DAIC-92525","92525","Daicel","CHIRALPAK® IM-3 Analytical column"
"DAIC-92594","92594","Daicel","CHIRALPAK® IM-3 Analytical column"
"DAIC-92595","92595","Daicel","CHIRALPAK® IM-3 Analytical column"
"DAIC-80311","80311","Daicel","CHIRALPAK® IA Guard cartridge ( ×3 )"
"DAIC-80324","80324","Daicel","CHIRALPAK® IA Analytical column"
"DAIC-80325","80325","Daicel","CHIRALPAK® IA Analytical column"
"DAIC-80337","80337","Daicel","CHIRALPAK® IA Guard column for semi-prep"
"DAIC-80335","80335","Daicel","CHIRALPAK® IA Semi-prep"
"DAIC-80345","80345","Daicel","CHIRALPAK® IA Semi-prep"
"DAIC-80394","80394","Daicel","CHIRALPAK® IA Analytical column"
"DAIC-80395","80395","Daicel","CHIRALPAK® IA Analytical column"
"DAIC-81311","81311","Daicel","CHIRALPAK® IB Guard cartridge ( ×3 )"
"DAIC-81324","81324","Daicel","CHIRALPAK® IB Analytical column"
"DAIC-81325","81325","Daicel","CHIRALPAK® IB Analytical column"
"DAIC-81337","81337","Daicel","CHIRALPAK® IB Guard column for semi-prep"
"DAIC-81335","81335","Daicel","CHIRALPAK® IB Semi-prep"
"DAIC-81345","81345","Daicel","CHIRALPAK® IB Semi-prep"
"DAIC-81394","81394","Daicel","CHIRALPAK® IB Analytical column"
"DAIC-81395","81395","Daicel","CHIRALPAK® IB Analytical column"
"DAIC-88311","88311","Daicel","CHIRALPAK® IB N-5 Guard cartridge ( ×3 )"
"DAIC-88324","88324","Daicel","CHIRALPAK® IB N-5 Analytical column"
"DAIC-88325","88325","Daicel","CHIRALPAK® IB N-5 Analytical column"
"DAIC-88337","88337","Daicel","CHIRALPAK® IB N-5 Guard column for semi-prep"
"DAIC-88335","88335","Daicel","CHIRALPAK® IB N-5 Semi-prep"
"DAIC-88345","88345","Daicel","CHIRALPAK® IB N-5 Semi-prep"
"DAIC-88394","88394","Daicel","CHIRALPAK® IB N-5 Analytical column"
"DAIC-88395","88395","Daicel","CHIRALPAK® IB N-5 Analytical column"
"DAIC-83311","83311","Daicel","CHIRALPAK® IC Guard cartridge ( ×3 )"
"DAIC-83324","83324","Daicel","CHIRALPAK® IC Analytical column"
"DAIC-83325","83325","Daicel","CHIRALPAK® IC Analytical column"
"DAIC-83337","83337","Daicel","CHIRALPAK® IC Guard column for semi-prep"
"DAIC-83335","83335","Daicel","CHIRALPAK® IC Semi-prep"
"DAIC-83345","83345","Daicel","CHIRALPAK® IC Semi-prep"
"DAIC-83394","83394","Daicel","CHIRALPAK® IC Analytical column"
"DAIC-83395","83395","Daicel","CHIRALPAK® IC Analytical column"
"DAIC-84311","84311","Daicel","CHIRALPAK® ID Guard cartridge ( ×3 )"
"DAIC-84324","84324","Daicel","CHIRALPAK® ID Analytical column"
"DAIC-84325","84325","Daicel","CHIRALPAK® ID Analytical column"
"DAIC-84337","84337","Daicel","CHIRALPAK® ID Guard column for semi-prep"
"DAIC-84335","84335","Daicel","CHIRALPAK® ID Semi-prep"
"DAIC-84345","84345","Daicel","CHIRALPAK® ID Semi-prep"
"DAIC-84394","84394","Daicel","CHIRALPAK® ID Analytical column"
